0.000000	0.000000
0.200000	0.133333
0.400000	0.257778
0.600000	0.373926
0.800000	0.482331
1.000000	0.583509
1.200000	0.677942
1.400000	0.766079
1.600000	0.848340
1.800000	0.925118
2.000000	0.996776
2.200000	1.063658
2.400000	1.126081
2.600000	1.184342
2.800000	1.238719
3.000000	1.289471
3.200000	1.336840
3.400000	1.381051
3.600000	1.422314
3.800000	1.460826
4.000000	1.496771
4.200000	1.530320
4.400000	1.561632
4.600000	1.590856
4.800000	1.618133
5.000000	1.643590
5.200000	1.667351
5.400000	1.689528
5.600000	1.710226
5.800000	1.729544
6.000000	1.747574
6.200000	1.764403
6.400000	1.780109
6.600000	1.794769
6.800000	1.808451
7.000000	1.821221
7.200000	1.833139
7.400000	1.844263
7.600000	1.854646
7.800000	1.864336
8.000000	1.873380
8.200000	1.881822
8.400000	1.889700
8.600000	1.897054
8.800000	1.903917
9.000000	1.910322
9.200000	1.916301
9.400000	1.921881
9.600000	1.927089
9.800000	1.931949
10.000000	1.936486
